resuFALSEt.match_id,resuFALSEt.radiant_TRUEin,resuFALSEt.duration,resuFALSEt.pFALSEayer_1_hero_id,resuFALSEt.pFALSEayer_2_hero_id,resuFALSEt.pFALSEayer_3_hero_id,resuFALSEt.pFALSEayer_4_hero_id,resuFALSEt.pFALSEayer_5_hero_id,resuFALSEt.pFALSEayer_6_hero_id,resuFALSEt.pFALSEayer_7_hero_id,resuFALSEt.pFALSEayer_8_hero_id,resuFALSEt.pFALSEayer_9_hero_id,resuFALSEt.pFALSEayer_10_hero_id
1729094248,FALSE,2769,4,62,104,6,53,22,32,30,48,21
1729094249,FALSE,3024,6,21,100,35,104,14,22,32,4,99
1729094250,TRUE,2986,17,32,13,68,12,7,21,35,39,1
1729094251,TRUE,2897,58,11,99,68,100,27,45,59,54,44
1729094256,TRUE,1817,63,100,41,87,49,29,65,42,4,101
1729094257,TRUE,2495,105,14,101,72,13,82,10,67,31,7
1729094258,TRUE,1507,57,94,46,65,88,22,104,111,109,87
1729094260,FALSE,1693,58,74,26,10,21,40,12,25,17,20
1729094261,TRUE,1744,59,74,82,8,13,105,2,32,19,41
1729094262,TRUE,2076,4,9,86,11,53,17,36,62,102,41
1729094263,FALSE,1736,9,75,57,104,63,44,86,85,47,71
1729094264,FALSE,723,76,96,64,84,69,94,26,104,37,55
1729094265,TRUE,1808,88,34,99,46,74,26,44,22,111,49
1729094289,FALSE,3264,35,14,21,46,43,42,32,96,47,27
1729094290,FALSE,2077,97,53,15,21,47,55,42,22,101,7
1729094292,FALSE,2197,19,7,25,45,21,110,75,46,18,48
1729094293,TRUE,3292,73,21,16,11,17,74,71,62,81,28
1729094294,FALSE,3516,11,93,30,9,3,52,112,12,81,86
1729094296,TRUE,1894,1,51,100,23,12,4,81,70,11,0
1729094297,FALSE,3024,104,11,86,102,93,70,23,41,30,48
1729094299,FALSE,5183,29,26,39,72,101,96,50,7,6,17
1729094300,FALSE,2139,95,22,49,2,89,19,85,48,58,25
1729094301,FALSE,4905,100,5,68,74,17,44,99,39,84,26
1729094302,TRUE,3344,51,100,17,57,67,71,14,70,27,7
1729094303,TRUE,2851,16,41,53,21,38,79,109,60,9,75
1729094334,FALSE,1842,28,92,6,49,14,4,32,59,80,22
1729094335,TRUE,1743,37,42,84,104,59,1,41,4,48,2
1729094336,FALSE,1979,21,93,101,87,56,17,44,51,7,62
1729094338,FALSE,2408,6,62,105,35,74,32,111,1,4,84
1729094339,FALSE,2455,5,63,12,109,41,102,16,72,9,106
1729094340,FALSE,2588,107,90,74,64,93,54,78,97,39,95
1729094342,FALSE,1792,17,9,62,51,72,32,39,75,52,26
1729094343,FALSE,2593,25,21,104,17,8,30,74,93,27,1
1729094344,TRUE,2859,36,12,64,88,51,72,4,105,7,17
1729094345,TRUE,2035,49,110,17,106,62,36,70,1,71,23
1729094349,FALSE,3343,86,26,18,60,42,11,2,58,67,79
1729094351,TRUE,2977,22,75,1,51,2,7,26,6,62,9
1729094352,FALSE,2678,41,64,98,22,99,17,25,32,31,62
1729094353,FALSE,2551,39,19,21,45,85,62,105,68,11,61
1729094354,TRUE,1962,75,36,104,64,85,18,15,43,62,19
1729094356,FALSE,2660,35,11,16,84,93,39,53,36,67,2
1729094359,FALSE,2471,62,106,73,99,25,22,9,1,100,104
1729094360,FALSE,3008,95,73,84,20,98,90,26,49,13,0
1729094362,TRUE,2281,62,17,14,25,105,73,60,54,63,4
1729094390,TRUE,2205,14,7,8,52,21,45,11,107,41,71
1729094391,FALSE,2394,4,18,73,86,98,99,17,105,61,41
1729094392,TRUE,1990,36,112,60,47,29,10,27,19,1,5
1729094393,TRUE,1965,61,14,94,44,8,70,12,25,41,17
1729094394,TRUE,177,106,97,20,18,68,42,17,7,26,59
1729094395,TRUE,1939,112,9,106,4,51,11,63,30,85,37
1729094396,TRUE,1599,4,93,14,7,52,53,9,67,29,46
1729094397,TRUE,4423,32,59,41,25,17,101,44,9,36,71
1729094398,FALSE,2757,105,109,11,93,44,21,14,39,45,104
